G_loss,D_loss
5.239716737954093,0.23467002196235212
10.05602098833015,0.00046736456693627555
11.44980796974605,0.00039034085254428965
13.830752587267584,4.255311401543535e-06
14.868479339298663,1.9088486894277882e-06
15.709732683991064,1.0791663826913407e-06
22.13893160992848,0.0007257701102322838
13.823434728040878,0.000663562074370919
14.645163755681216,1.4163698742069527e-06
16.104839295466572,5.60688190490812e-07
16.87183325631278,3.132844814783616e-07
17.231528908459108,1.9404583316529813e-07
17.85291247174684,1.170180936636433e-07
18.55167625809529,6.980765899377749e-08
19.117768808214397,4.247669050420121e-08
19.66539121029982,2.5758514058519263e-08
24.2792247048319,9.383824499860807e-06
82.47887293768844,1.1094155641040617e-07
80.15603066710776,8.04240072784984e-10
80.09357022934122,7.387088417866269e-10
