G_loss,D_loss
3.1831192906731482,0.7033057859711556
3.644108155515911,0.5301262453071344
3.160931156896579,0.5779626697047687
2.823552820791822,0.6401105952828423
2.917009582715248,0.6078514073735107
3.5221451730616313,0.475382116287629
2.8478531887028007,0.5967861374717023
2.8169926903776523,0.6360447533539871
2.8005642374314226,0.6093122463967247
3.1768336777748076,0.5061724494451653
3.0023414232075085,0.584732804534786
3.1955112577882656,0.5530282166371467
2.810973925377006,0.6041440332431529
3.0770980670635124,0.5749002934963718
2.931675907772487,0.5580141820124725
3.184352258184571,0.554974509407081
3.3095841530416568,0.5184447468598006
2.9621631490396285,0.5839915971384882
3.0343358385791657,0.5437538580123041
3.0647740930890732,0.5434512346506373
2.993343446300482,0.5546907304224175
3.0873604171565856,0.5734378247341113
2.8977780358623595,0.5805572563968996
2.878605288737364,0.5877394901949968
3.0898084540102784,0.5652468159858351
