G_loss,D_loss
2.952024154215386,0.6703350334755901
2.6551603143339726,0.6626406563942366
2.3843389610563324,0.7227300746788687
2.656519628644212,0.6226097507019711
2.386126304895226,0.6784346653856788
2.612824134099712,0.6165031976759561
2.496924759450752,0.6405023121418645
2.4278747443355986,0.6703179808811424
2.56685626961545,0.624720190490868
2.416467956102479,0.669715655743864
2.5224925860611678,0.639649745534944
2.6687259534592314,0.5893995651092272
2.493552346954118,0.6386991868797735
2.6536952975684645,0.5842222874479762
2.545287164114813,0.6229137421639235
2.6231047418703244,0.601049705572008
2.553777845431445,0.6291401303441455
2.456662397089003,0.6295353483988532
2.6435321203387305,0.6065360358634907
2.6100573217424787,0.6087668312193234
2.6993742508492047,0.5916402172442862
2.5018423953607902,0.6382375842101962
2.562139590749386,0.6029129667629904
2.669193902060882,0.6049495909757536
2.5955993675692346,0.6056568697889222
